period,h,mult,return
20,6.0,3.0,0.72%
15,9.0,4.0,0.72%
20,6.0,4.0,0.72%
20,6.0,4.0,0.72%
20,6.0,4.0,0.72%
25,9.0,4.0,0.72%
25,9.0,4.0,0.72%
25,9.0,4.0,0.72%
20,7.0,4.0,0.72%
20,7.0,4.0,0.72%
20,7.0,4.0,0.72%
20,7.0,4.0,0.72%
20,7.0,4.0,0.72%
25,9.0,4.0,0.72%
25,9.0,4.0,0.72%
20,8.0,4.0,0.72%
20,8.0,4.0,0.72%
20,6.0,4.0,0.72%
20,6.0,4.0,0.72%
20,6.0,3.0,0.72%
20,5.0,3.0,0.72%
15,9.0,4.0,0.72%
15,10.0,4.0,0.72%
15,10.0,4.0,0.72%
15,10.0,4.0,0.72%
15,10.0,4.0,0.72%
15,10.0,4.0,0.72%
20,5.0,3.0,0.72%
20,6.0,3.0,0.72%
20,5.0,3.0,0.72%
20,5.0,3.0,0.72%
20,5.0,3.0,0.72%
25,7.0,4.0,0.72%
20,6.0,3.0,0.72%
20,6.0,3.0,0.72%
20,8.0,4.0,0.72%
20,8.0,4.0,0.72%
20,8.0,4.0,0.72%
25,6.0,4.0,0.72%
25,5.0,4.0,0.72%
25,5.0,4.0,0.72%
25,5.0,4.0,0.72%
25,5.0,4.0,0.72%
25,8.0,4.0,0.72%
25,8.0,4.0,0.72%
25,6.0,4.0,0.72%
25,5.0,3.0,0.72%
25,6.0,4.0,0.72%
25,6.0,4.0,0.72%
25,6.0,4.0,0.72%
25,7.0,4.0,0.72%
25,7.0,4.0,0.72%
25,7.0,4.0,0.72%
25,5.0,4.0,0.72%
25,5.0,3.0,0.72%
20,9.0,4.0,0.72%
20,10.0,4.0,0.72%
20,9.0,4.0,0.72%
20,9.0,4.0,0.72%
20,9.0,4.0,0.72%
20,9.0,4.0,0.72%
20,10.0,4.0,0.72%
20,10.0,4.0,0.72%
20,10.0,4.0,0.72%
25,5.0,3.0,0.72%
20,10.0,4.0,0.72%
25,8.0,4.0,0.72%
25,8.0,4.0,0.72%
25,8.0,4.0,0.72%
25,5.0,3.0,0.72%
25,5.0,3.0,0.72%
15,9.0,4.0,0.72%
25,7.0,4.0,0.72%
15,9.0,4.0,0.72%
15,7.0,4.0,0.72%
15,7.0,4.0,0.72%
15,7.0,4.0,0.72%
15,7.0,4.0,0.72%
15,9.0,4.0,0.72%
15,8.0,4.0,0.72%
15,8.0,4.0,0.72%
15,8.0,4.0,0.72%
15,8.0,4.0,0.72%
15,8.0,4.0,0.72%
15,7.0,4.0,0.72%
20,5.0,4.0,0.65%
20,5.0,4.0,0.65%
15,5.0,4.0,0.65%
15,5.0,4.0,0.65%
15,6.0,4.0,0.65%
15,6.0,4.0,0.65%
15,6.0,4.0,0.65%
20,5.0,4.0,0.65%
20,5.0,4.0,0.65%
20,5.0,4.0,0.65%
15,5.0,4.0,0.65%
15,5.0,4.0,0.65%
15,6.0,4.0,0.65%
15,6.0,4.0,0.65%
15,5.0,4.0,0.65%
25,10.0,3.0,0.63%
25,10.0,3.0,0.63%
25,10.0,3.0,0.63%
25,9.0,3.0,0.63%
25,10.0,3.0,0.63%
25,10.0,3.0,0.63%
25,9.0,3.0,0.63%
25,9.0,3.0,0.63%
25,9.0,3.0,0.63%
25,9.0,3.0,0.63%
25,10.0,2.0,0.59%
25,10.0,2.0,0.59%
25,10.0,2.0,0.59%
25,10.0,2.0,0.59%
25,10.0,2.0,0.59%
20,10.0,2.0,0.59%
20,10.0,2.0,0.59%
20,10.0,2.0,0.59%
20,10.0,2.0,0.59%
20,10.0,2.0,0.59%
15,10.0,2.0,0.58%
15,10.0,2.0,0.58%
15,10.0,2.0,0.58%
15,10.0,2.0,0.58%
15,10.0,2.0,0.58%
15,9.0,2.0,0.58%
15,9.0,2.0,0.58%
15,9.0,2.0,0.58%
15,9.0,2.0,0.58%
15,9.0,2.0,0.58%
15,7.0,2.0,0.58%
15,7.0,2.0,0.58%
15,7.0,2.0,0.58%
15,7.0,2.0,0.58%
15,7.0,2.0,0.58%
15,8.0,2.0,0.58%
15,8.0,2.0,0.58%
15,8.0,2.0,0.58%
15,8.0,2.0,0.58%
15,8.0,2.0,0.58%
15,5.0,3.0,-0.55%
15,5.0,3.0,-0.55%
20,10.0,3.0,-0.55%
20,10.0,3.0,-0.55%
15,5.0,3.0,-0.55%
15,5.0,3.0,-0.55%
25,7.0,2.0,-0.55%
25,7.0,2.0,-0.55%
25,8.0,2.0,-0.55%
25,7.0,2.0,-0.55%
25,7.0,2.0,-0.55%
25,7.0,2.0,-0.55%
25,8.0,2.0,-0.55%
25,8.0,2.0,-0.55%
15,5.0,3.0,-0.55%
25,8.0,2.0,-0.55%
25,8.0,2.0,-0.55%
25,9.0,2.0,-0.55%
25,6.0,2.0,-0.55%
25,6.0,2.0,-0.55%
25,9.0,2.0,-0.55%
15,6.0,3.0,-0.55%
25,6.0,2.0,-0.55%
15,6.0,3.0,-0.55%
15,6.0,3.0,-0.55%
15,6.0,3.0,-0.55%
15,6.0,3.0,-0.55%
25,6.0,2.0,-0.55%
25,6.0,2.0,-0.55%
20,10.0,3.0,-0.55%
20,10.0,3.0,-0.55%
15,7.0,3.0,-0.55%
20,10.0,3.0,-0.55%
15,8.0,3.0,-0.55%
15,8.0,3.0,-0.55%
20,6.0,2.0,-0.55%
20,6.0,2.0,-0.55%
20,6.0,2.0,-0.55%
20,6.0,2.0,-0.55%
20,6.0,2.0,-0.55%
20,5.0,2.0,-0.55%
20,5.0,2.0,-0.55%
20,5.0,2.0,-0.55%
20,5.0,2.0,-0.55%
20,5.0,2.0,-0.55%
15,9.0,3.0,-0.55%
15,9.0,3.0,-0.55%
15,9.0,3.0,-0.55%
15,9.0,3.0,-0.55%
15,9.0,3.0,-0.55%
15,10.0,3.0,-0.55%
15,10.0,3.0,-0.55%
15,10.0,3.0,-0.55%
15,10.0,3.0,-0.55%
15,10.0,3.0,-0.55%
15,8.0,3.0,-0.55%
15,8.0,3.0,-0.55%
20,9.0,3.0,-0.55%
15,8.0,3.0,-0.55%
20,9.0,3.0,-0.55%
20,9.0,3.0,-0.55%
20,9.0,3.0,-0.55%
20,9.0,3.0,-0.55%
25,9.0,2.0,-0.55%
25,9.0,2.0,-0.55%
25,9.0,2.0,-0.55%
15,7.0,3.0,-0.55%
15,7.0,3.0,-0.55%
15,7.0,3.0,-0.55%
15,7.0,3.0,-0.55%
20,8.0,3.0,-0.55%
20,8.0,3.0,-0.55%
20,8.0,3.0,-0.55%
20,8.0,3.0,-0.55%
20,8.0,3.0,-0.55%
20,7.0,3.0,-0.55%
20,7.0,3.0,-0.55%
20,7.0,3.0,-0.55%
20,7.0,3.0,-0.55%
20,7.0,3.0,-0.55%
15,5.0,2.0,-0.58%
20,8.0,2.0,-0.58%
20,9.0,2.0,-0.58%
20,7.0,2.0,-0.58%
20,8.0,2.0,-0.58%
20,8.0,2.0,-0.58%
20,9.0,2.0,-0.58%
20,9.0,2.0,-0.58%
20,9.0,2.0,-0.58%
20,9.0,2.0,-0.58%
15,5.0,2.0,-0.58%
20,7.0,2.0,-0.58%
20,7.0,2.0,-0.58%
20,7.0,2.0,-0.58%
20,7.0,2.0,-0.58%
15,6.0,2.0,-0.58%
20,8.0,2.0,-0.58%
15,6.0,2.0,-0.58%
15,6.0,2.0,-0.58%
15,6.0,2.0,-0.58%
15,6.0,2.0,-0.58%
15,5.0,2.0,-0.58%
15,5.0,2.0,-0.58%
15,5.0,2.0,-0.58%
20,8.0,2.0,-0.58%
25,10.0,4.0,-0.63%
25,10.0,4.0,-0.63%
25,10.0,4.0,-0.63%
25,10.0,4.0,-0.63%
25,7.0,3.0,-0.63%
25,7.0,3.0,-0.63%
25,5.0,2.0,-0.63%
25,7.0,3.0,-0.63%
25,7.0,3.0,-0.63%
25,7.0,3.0,-0.63%
25,6.0,3.0,-0.63%
25,6.0,3.0,-0.63%
25,6.0,3.0,-0.63%
25,8.0,3.0,-0.63%
25,8.0,3.0,-0.63%
25,8.0,3.0,-0.63%
25,8.0,3.0,-0.63%
25,8.0,3.0,-0.63%
25,6.0,3.0,-0.63%
25,6.0,3.0,-0.63%
25,5.0,2.0,-0.63%
25,5.0,2.0,-0.63%
25,5.0,2.0,-0.63%
25,5.0,2.0,-0.63%
25,10.0,4.0,-0.63%
